key_new,elasticity,p_value,r_squared,n_obs
Chain 1_Depot 1_SKU 1,-0.48,5%,0.16,25
Chain 1_Depot 1_SKU 15,-0.63,18%,0.1,19
Chain 1_Depot 1_SKU 19,-0.6,1%,0.27,22
Chain 2_Depot 2_SKU 14,-0.86,0%,0.33,22
Chain 2_Depot 2_SKU 17,,,,3
Chain 2_Depot 2_SKU 2,-0.7,0%,0.37,33
Chain 2_Depot 5_SKU 11,-0.78,0%,0.47,24
Chain 2_Depot 5_SKU 20,-0.55,13%,0.11,22
Chain 2_Depot 5_SKU 3,-0.76,0%,0.46,32
Chain 2_Depot 7_SKU 16,-0.5,4%,0.14,32
Chain 2_Depot 8_SKU 3,-0.69,1%,0.22,28
Chain 3_Depot 3_SKU 22,-0.85,6%,0.39,10
Chain 3_Depot 3_SKU 23,0.37,52%,0.05,10
Chain 3_Depot 3_SKU 3,-0.76,5%,0.12,33
Chain 3_Depot 3_SKU 9,-0.53,1%,0.22,33
Chain 4_Depot 2_SKU 3,-0.81,8%,0.22,15
Chain 4_Depot 2_SKU 4,-1.26,2%,0.72,7
Chain 4_Depot 6_SKU 10,-0.24,45%,0.04,15
Chain 4_Depot 6_SKU 24,,,,4
Chain 4_Depot 7_SKU 12,-0.8,0%,0.41,32
Chain 5_Depot 2_SKU 6,-0.82,0%,0.42,33
Chain 5_Depot 2_SKU 7,-0.4,7%,0.1,33
Chain 5_Depot 2_SKU 9,-0.63,10%,0.16,19
Chain 5_Depot 4_SKU 18,-0.97,1%,0.28,25
Chain 5_Depot 4_SKU 5,-0.73,4%,0.12,33
Chain 5_Depot 4_SKU 7,-0.56,1%,0.23,32
Chain 5_Depot 4_SKU 9,-0.55,8%,0.18,18
Chain 5_Depot 5_SKU 12,-0.64,1%,0.19,32
Chain 5_Depot 6_SKU 10,-0.77,0%,0.38,33
Chain 5_Depot 6_SKU 11,-0.65,1%,0.25,27
Chain 5_Depot 6_SKU 8,-0.87,0%,0.36,31
Chain 5_Depot 7_SKU 13,-0.7,0%,0.4,33
Chain 5_Depot 7_SKU 14,-0.38,34%,0.15,8
Chain 5_Depot 7_SKU 3,-0.4,2%,0.16,33
Chain 5_Depot 7_SKU 8,-0.6,0%,0.4,33
Chain 5_Depot 8_SKU 11,-0.64,0%,0.34,24
Chain 5_Depot 8_SKU 9,-0.31,24%,0.09,17
Chain 5_Depot 9_SKU 2,0.1,92%,0,10
Chain 6_Depot 2_SKU 21,-0.89,0%,0.47,22
Chain 6_Depot 4_SKU 14,-0.63,32%,0.25,6
Chain 6_Depot 4_SKU 8,-1.6,0%,0.84,7
Chain 6_Depot 4_SKU 9,-0.97,4%,0.26,16
Chain 6_Depot 5_SKU 14,-2.18,34%,0.23,6
Chain 6_Depot 5_SKU 20,-0.76,0%,0.68,18
Chain 6_Depot 9_SKU 21,-0.35,10%,0.13,22
